store_code,store_name,chainname,subchainname,storeid,address,city,zipcode,latitude,longitude,average_price_diff,popular_item_count
ampm_401,AM-PMדרך השלום,ampm,AM:PM,401.0,דרך השלום 53,גבעתיים,5345433.0,32.066902,34.803277,8.459293549662396,4686
ampm_402,AM-PMקרית ביאליק,ampm,AM:PM,402.0,נעמי שמר 10,קרית ביאליק,2751419.0,32.8493857,35.1054986,8.785441418575019,4512
ampm_403,AM-PM המושבה הגרמנית,ampm,AM:PM,403.0,בן גוריון 6,חיפה,3541416.0,32.82334041273907,34.99175345298348,8.86055688529492,4144
ampm_404,"AM-PMאח""י אילת חיפה",ampm,AM:PM,404.0,"אח""י אילת 22",חיפה,3541416.0,32.82334041273907,34.99175345298348,9.074522946130624,3150
ampm_501,Am-pm בן יהודה 30,ampm,AM:PM,501.0,בן יהודה 30,תל אביב יפו,6380407.0,32.0760792,34.7682159,8.829258667945288,3992
ampm_504,Am-pm נורדאו,ampm,AM:PM,504.0,בן יהודה 195,תל אביב יפו,6347312.0,32.0921006,34.7744633,8.635414727234854,4647
ampm_505,Am-pmאלנבי,ampm,AM:PM,505.0,אלנבי 115,תל אביב יפו,6581708.0,32.0624808,34.7736408,8.43203797396035,4948
ampm_506,Am-pm קינג גורג,ampm,AM:PM,506.0,קינג גורג 24,תל אביב יפו,6326709.0,32.0718846,34.7736551,8.921872166689946,3917
ampm_507,Am-pm 24 שנקין,ampm,AM:PM,507.0,שנקין 24,תל אביב יפו,6523132.0,32.0692713,34.7728342,8.542984680802787,4596
ampm_508,Am-pm  אבן גבירול,ampm,AM:PM,508.0,אבן גבירול 14,תל אביב יפו,6407716.0,32.0729348,34.7819905,8.764816786255448,3953
ampm_509,Am-pm זמנהוף,ampm,AM:PM,509.0,קינג גורג 99,תל אביב יפו,6433831.0,32.077532,34.7775964,8.658539723381903,4294
ampm_510,Am-pm לינקולן,ampm,AM:PM,510.0,לינקולן 9,תל אביב יפו,0.0,32.0670307,34.7818233,8.587424822373317,3535
ampm_511,Am-pm  הרצל,ampm,AM:PM,511.0,"הרצל 91,עובר להרצל 114)",תל אביב יפו,6655414.0,32.0549445,34.7709586,8.540333380763737,4185
ampm_512,Am-pm  כל-בו שלום,ampm,AM:PM,512.0,אחד העם 9,תל אביב יפו,6525101.0,32.0640664,34.7696096,8.484307782411847,5307
ampm_513,Am-pm פרנקל,ampm,AM:PM,513.0,פרנקל 15,תל אביב יפו,6608419.0,32.0572752,34.76826740000001,8.569300188719906,4488
ampm_514,Am-pm גורדון,ampm,AM:PM,514.0,דיזנגוף 136,תל אביב יפו,6346109.0,32.0821944,34.7739473,8.563199795263552,4607
